Source:,C:\Project_Files\kicad_stuff\RASCSI-68kmlaver\design files\Dual Connector Ver\rascsi_din.sch,,,,,,
Date:,6/25/2020 21:02,,,,,,
Tool:,Eeschema (5.1.6)-1,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,24,,,,,,
,,,,,,,
,,,,,,,
Collated Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Mouser PN,Datasheet
1,1,D1,1N4004,rascsi_din-eagle-import:1N4004,rascsi_din:DO41-10,833-1N4001-TP,
2,4,"D2, D3, D4, D5",LED_Small,Device:LED_Small,LED_SMD:LED_0805_2012Metric,720-LGR971-KN-1,~
3,1,FUSE1A1,R-US_0204_7,rascsi_din-eagle-import:R-US_0204_7,rascsi_din:0204_7,576-0251001.NRT1L,
4,1,J1,Raspberry_Pi_2_3,Connector:Raspberry_Pi_2_3,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,485-2223,https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf
5,1,J2,DB25_Female,Connector:DB25_Female,Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,706-DLS3XS6AK44X, ~
6,1,J3,Conn_02x25_Odd_Even,Connector_Generic:Conn_02x25_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical_SMD,538-15-91-0500,~
7,3,"R1, R2, R4",44,Device:R_Small,Resistor_SMD:R_0805_2012Metric,754-RR1220Q-44R2D-M,~
,1,R3,112,Device:R_Small,Resistor_SMD:R_0805_2012Metric,754-RR1220P-1130D-M,
8,2,"RN1, RN2",10k,Device:R_Network09,Resistor_THT:R_Array_SIP10,652-4610X-1LF-10K,http://www.vishay.com/docs/31509/csc.pdf
9,2,"RN3, RN5",220,Device:R_Network09,Resistor_THT:R_Array_SIP10,652-4610X-1LF-220,http://www.vishay.com/docs/31509/csc.pdf
10,2,"RN4, RN6",330,Device:R_Network09,Resistor_THT:R_Array_SIP10,652-4610X-1LF-330,http://www.vishay.com/docs/31509/csc.pdf
11,4,"U1, U2, U3, U4",SN74LS641-1C,rascsi_din-eagle-import:SN74LS641-1C,rascsi_din:SOIC20S,595-SN74LS641-1DW,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74ls641
12,1,U$1,LOGO,rascsi_din-eagle-import:LOGO,rascsi_din:LOGO,N/A,
