Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Green","LED_0805_2012Metric",142.703500,2.381000,180.000000,top
"D2","Green","LED_0805_2012Metric",142.591500,-1.556000,180.000000,top
"D3","Green","LED_0805_2012Metric",141.829500,-22.066500,180.000000,top
"D4","Green","LED_0805_2012Metric",141.829500,-20.161500,180.000000,top
"D5","SM4007PL","D_SOD-123F",128.494500,-13.620000,270.000000,top
"FUSE1","1A","Fuse_1206_3216Metric",125.573500,-13.624000,90.000000,top
"IC1","SN74LS641-1DW","SOIC127P1030X265-20N",105.444000,-4.985000,90.000000,top
"IC2","SN74LS641-1DW","SOIC127P1030X265-20N",92.490000,-4.985000,90.000000,top
"IC3","SN74LS641-1DW","SOIC127P1030X265-20N",118.398000,-4.985000,270.000000,top
"IC4","SN74LS641-1DW","SOIC127P1030X265-20N",131.352000,-4.985000,270.000000,top
"R1","2k","R_0402_1005Metric",138.758500,2.444500,0.000000,top
"R2","2k","R_0402_1005Metric",138.758500,3.460500,0.000000,top
"R3","5k","R_0402_1005Metric",139.607000,-22.003000,270.000000,top
"R4","2k","R_0402_1005Metric",139.607000,-20.098000,270.000000,top
"R5","10k","R_0402_1005Metric",132.812500,2.231000,270.000000,top
"R6","10k","R_0402_1005Metric",134.082500,2.231000,270.000000,top
"R7","10k","R_0402_1005Metric",135.352500,2.231000,270.000000,top
"R8","10k","R_0402_1005Metric",136.622500,2.231000,270.000000,top
"R9","10k","R_0402_1005Metric",118.525000,2.231000,270.000000,top
"R10","10k","R_0402_1005Metric",119.795000,2.231000,270.000000,top
"R11","10k","R_0402_1005Metric",121.065000,2.231000,270.000000,top
"R12","10k","R_0402_1005Metric",122.335000,2.231000,270.000000,top
"R13","10k","R_0402_1005Metric",123.605000,2.231000,270.000000,top
"R14","10k","R_0402_1005Metric",89.950000,2.231000,270.000000,top
"R15","10k","R_0402_1005Metric",91.220000,2.231000,270.000000,top
"R16","10k","R_0402_1005Metric",92.490000,2.231000,270.000000,top
"R17","10k","R_0402_1005Metric",93.760000,2.231000,270.000000,top
"R18","10k","R_0402_1005Metric",95.030000,2.231000,270.000000,top
"R19","10k","R_0402_1005Metric",96.300000,2.231000,270.000000,top
"R20","10k","R_0402_1005Metric",97.570000,2.231000,270.000000,top
"R21","10k","R_0402_1005Metric",98.840000,2.231000,270.000000,top
"R22","10k","R_0402_1005Metric",100.110000,2.231000,270.000000,top
"R23","220","R_0402_1005Metric",131.542500,-12.605000,270.000000,top
"R24","220","R_0402_1005Metric",132.812500,-12.605000,270.000000,top
"R25","220","R_0402_1005Metric",134.082500,-12.605000,270.000000,top
"R26","220","R_0402_1005Metric",135.352500,-12.605000,270.000000,top
"R27","220","R_0402_1005Metric",117.255000,-12.478000,270.000000,top
"R28","220","R_0402_1005Metric",118.525000,-12.478000,270.000000,top
"R29","220","R_0402_1005Metric",119.795000,-12.478000,270.000000,top
"R30","220","R_0402_1005Metric",121.001500,-12.478000,270.000000,top
"R31","220","R_0402_1005Metric",122.335000,-12.478000,270.000000,top
"R32","220","R_0402_1005Metric",88.680000,-12.478000,270.000000,top
"R33","220","R_0402_1005Metric",89.950000,-12.478000,270.000000,top
"R34","220","R_0402_1005Metric",91.220000,-12.478000,270.000000,top
"R35","220","R_0402_1005Metric",92.490000,-12.478000,270.000000,top
"R36","220","R_0402_1005Metric",93.760000,-12.478000,270.000000,top
"R37","220","R_0402_1005Metric",94.966500,-12.478000,270.000000,top
"R38","220","R_0402_1005Metric",96.300000,-12.478000,270.000000,top
"R39","220","R_0402_1005Metric",97.570000,-12.478000,270.000000,top
"R40","220","R_0402_1005Metric",101.697500,-12.478000,270.000000,top
"R41","330","R_0402_1005Metric",131.542500,-15.002501,90.000000,top
"R42","330","R_0402_1005Metric",132.812500,-15.002501,90.000000,top
"R43","330","R_0402_1005Metric",134.082500,-15.002501,90.000000,top
"R44","330","R_0402_1005Metric",135.352500,-15.002501,90.000000,top
"R45","330","R_0402_1005Metric",117.255000,-14.827500,90.000000,top
"R46","330","R_0402_1005Metric",118.525000,-14.827500,90.000000,top
"R47","330","R_0402_1005Metric",119.795000,-14.827500,90.000000,top
"R48","330","R_0402_1005Metric",121.065000,-14.827500,90.000000,top
"R49","330","R_0402_1005Metric",122.335000,-14.827500,90.000000,top
"R50","330","R_0402_1005Metric",88.680000,-14.827500,90.000000,top
"R51","330","R_0402_1005Metric",89.950000,-14.827500,90.000000,top
"R52","330","R_0402_1005Metric",91.220000,-14.827500,90.000000,top
"R53","330","R_0402_1005Metric",92.490000,-14.827500,90.000000,top
"R54","330","R_0402_1005Metric",93.760000,-14.827500,90.000000,top
"R55","330","R_0402_1005Metric",95.030000,-14.827500,90.000000,top
"R56","330","R_0402_1005Metric",96.300000,-14.827500,90.000000,top
"R57","330","R_0402_1005Metric",97.570000,-14.827500,90.000000,top
"R58","330","R_0402_1005Metric",101.697500,-14.827500,90.000000,top
"S1","Switch x2","SOIC127P812X230-4N",133.828500,-18.256500,0.000000,top
